"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
Channel,package:goplay/models/channel.dart,1206,96480,96480,0,0,0,0,0,1206,96480,96480,0
CachedNetworkImageProvider,package:cached_network_image/src/image_provider/cached_network_image_provider.dart,469,30016,30016,0,58,3712,3712,0,411,26304,26304,0
MultiImageStreamCompleter,package:cached_network_image/src/image_provider/multi_image_stream_completer.dart,199,25472,25472,0,0,0,0,0,199,25472,25472,0
CachedNetworkImage,package:cached_network_image/src/cached_image_widget.dart,116,12992,12992,0,58,6496,6496,0,58,6496,6496,0
ImageHandler,package:octo_image/src/image/image_handler.dart,116,12992,12992,0,58,6496,6496,0,58,6496,6496,0
OctoImage,package:octo_image/src/image/image.dart,116,11136,11136,0,58,5568,5568,0,58,5568,5568,0
CacheObject,package:flutter_cache_manager/src/storage/cache_object.dart,227,10896,10896,0,0,0,0,0,227,10896,10896,0
Matrix4,package:vector_math/vector_math_64.dart,471,7536,7536,0,301,4816,4816,0,170,2720,2720,0
ChannelCard,package:goplay/widgets/cards/channel_card.dart,180,5760,5760,0,90,2880,2880,0,90,2880,2880,0
FadeWidget,package:octo_image/src/image/fade_widget.dart,108,3456,3456,0,54,1728,1728,0,54,1728,1728,0
_MultiImageStreamCompleterHandle,package:cached_network_image/src/image_provider/multi_image_stream_completer.dart,209,3344,3344,0,0,0,0,0,209,3344,3344,0
$ProviderElement,package:riverpod/src/providers/provider.dart,25,2800,2800,0,0,0,0,0,25,2800,2800,0
DrmConfig,package:goplay/models/drm_config.dart,83,2656,2656,0,0,0,0,0,83,2656,2656,0
_FadeWidgetState,package:octo_image/src/image/fade_widget.dart,54,2592,2592,0,0,0,0,0,54,2592,2592,0
ProviderProviderSubscription,package:riverpod/src/framework.dart,40,2560,2560,0,1,64,64,0,39,2496,2496,0
$Observable,package:riverpod/src/common/listenable.dart,39,2496,2496,0,0,0,0,0,39,2496,2496,0
$Ref,package:riverpod/src/framework.dart,35,2240,2240,0,0,0,0,0,35,2240,2240,0
_CategoryPageContent,package:goplay/screens/channels/channels_screen.dart,58,1856,1856,0,29,928,928,0,29,928,928,0
_OctoImageState,package:octo_image/src/image/image.dart,58,1856,1856,0,0,0,0,0,58,1856,1856,0
Category,package:goplay/models/category.dart,38,1824,1824,0,0,0,0,0,38,1824,1824,0
AsyncData,package:riverpod/src/framework.dart,54,1728,1728,0,1,32,32,0,53,1696,1696,0
Provider,package:riverpod/src/providers/provider.dart,34,1632,1632,0,4,192,192,0,30,1440,1440,0
$ProviderPointer,package:riverpod/src/framework.dart,35,1120,1120,0,0,0,0,0,35,1120,1120,0
ConsumerStatefulElement,package:flutter_riverpod/src/core.dart,7,784,784,0,0,0,0,0,7,784,784,0
$FutureProviderElement,package:riverpod/src/providers/future_provider.dart,6,672,672,0,0,0,0,0,6,672,672,0
$ResultData,package:riverpod/src/common/result.dart,40,640,640,0,1,16,16,0,39,624,624,0
Permission,package:permission_handler_platform_interface/permission_handler_platform_interface.dart,35,560,560,0,0,0,0,0,35,560,560,0
$NotifierProviderElement,package:riverpod/src/providers/notifier.dart,4,512,512,0,0,0,0,0,4,512,512,0
Frame,package:hive/src/binary/frame.dart,10,480,480,0,0,0,0,0,10,480,480,0
_Node,package:hive/src/util/indexable_skip_list.dart,14,448,448,0,0,0,0,0,14,448,448,0
ProviderNode,package:riverpod/src/framework.dart,27,432,432,0,0,0,0,0,27,432,432,0
UpdateStatus,package:goplay/providers/update_notifier.dart,9,288,288,0,0,0,0,0,9,288,288,0
ErrorType,package:goplay/services/playback/playback_state.dart,9,288,288,0,0,0,0,0,9,288,288,0
FutureProvider,package:riverpod/src/providers/future_provider.dart,6,288,288,0,0,0,0,0,6,288,288,0
AuthChangeEvent,package:gotrue/src/constants.dart,8,256,256,0,0,0,0,0,8,256,256,0
StorageBackendVm,package:hive/src/backend/vm/storage_backend_vm.dart,4,256,256,0,0,0,0,0,4,256,256,0
PlaybackPhase,package:goplay/services/playback/playback_state.dart,8,256,256,0,0,0,0,0,8,256,256,0
_ResponsiveGrid,package:goplay/screens/channels/channels_screen.dart,8,256,256,0,4,128,128,0,4,128,128,0
RecoveryStrategy,package:goplay/services/playback/playback_state.dart,7,224,224,0,0,0,0,0,7,224,224,0
ContainerNode,package:riverpod/src/framework.dart,13,208,208,0,1,16,16,0,12,192,192,0
ChannelEvents,package:realtime_client/src/constants.dart,6,192,192,0,0,0,0,0,6,192,192,0
DioExceptionType,package:dio/src/dio_exception.dart,6,192,192,0,0,0,0,0,6,192,192,0
NotifierProvider,package:riverpod/src/providers/notifier.dart,4,192,192,0,0,0,0,0,4,192,192,0
BoxImpl,package:hive/src/box/box_impl.dart,4,192,192,0,0,0,0,0,4,192,192,0
IndexableSkipList,package:hive/src/util/indexable_skip_list.dart,4,192,192,0,0,0,0,0,4,192,192,0
Keystore,package:hive/src/box/keystore.dart,4,192,192,0,0,0,0,0,4,192,192,0
_ResponsiveGridState,package:goplay/screens/channels/channels_screen.dart,4,192,192,0,0,0,0,0,4,192,192,0
_CategoryPageContentState,package:goplay/screens/channels/channels_screen.dart,4,192,192,0,0,0,0,0,4,192,192,0
HttpMethod,package:postgrest/src/postgrest_builder.dart,6,192,192,0,0,0,0,0,6,192,192,0
PermissionStatus,package:permission_handler_platform_interface/permission_handler_platform_interface.dart,6,192,192,0,0,0,0,0,6,192,192,0
InternetState,package:goplay/services/playback/connectivity_service.dart,5,160,160,0,0,0,0,0,5,160,160,0
ResultType,package:open_filex/src/common/open_result.dart,5,160,160,0,0,0,0,0,5,160,160,0
SocketStates,package:realtime_client/src/constants.dart,5,160,160,0,0,0,0,0,5,160,160,0
ClassifiedError,package:goplay/services/playback/playback_state.dart,3,144,144,0,0,0,0,0,3,144,144,0
_JFinalizable,package:jni/src/jreference.dart,5,144,80,64,0,0,0,0,5,144,80,64
_NavItem,package:goplay/screens/shell_screen.dart,3,144,144,0,0,0,0,0,3,144,144,0
FactorType,package:gotrue/src/types/mfa.dart,4,128,128,0,0,0,0,0,4,128,128,0
StringScanner,package:string_scanner/src/string_scanner.dart,4,128,128,0,4,128,128,0,0,0,0,0
ResponseType,package:dio/src/options.dart,4,128,128,0,0,0,0,0,4,128,128,0
PostgrestBuilder,package:postgrest/src/postgrest_builder.dart,2,128,128,0,2,128,128,0,0,0,0,0
JGlobalReference,package:jni/src/jreference.dart,4,128,128,0,0,0,0,0,4,128,128,0
InterceptorResultType,package:dio/src/dio_mixin.dart,4,128,128,0,0,0,0,0,4,128,128,0
RetryConfig,package:goplay/services/playback/error_classifier.dart,4,128,128,0,0,0,0,0,4,128,128,0
RealtimeClient,package:realtime_client/src/realtime_client.dart,1,112,112,0,0,0,0,0,1,112,112,0
_CategoryFilterBar,package:goplay/screens/channels/channels_screen.dart,2,96,96,0,1,48,48,0,1,48,48,0
DrmType,package:goplay/models/drm_config.dart,3,96,96,0,0,0,0,0,3,96,96,0
BaseOptions,package:dio/src/options.dart,1,96,96,0,0,0,0,0,1,96,96,0
SupabaseClient,package:supabase/src/supabase_client.dart,1,96,96,0,0,0,0,0,1,96,96,0
FactorStatus,package:gotrue/src/types/mfa.dart,3,96,96,0,0,0,0,0,3,96,96,0
ResolvedAdapter,package:hive/src/registry/type_registry_impl.dart,3,96,96,0,0,0,0,0,3,96,96,0
CircuitState,package:goplay/services/playback/circuit_breaker.dart,3,96,96,0,0,0,0,0,3,96,96,0
GoTrueClient,package:gotrue/src/gotrue_client.dart,1,80,80,0,0,0,0,0,1,80,80,0
PermissionWithService,package:permission_handler_platform_interface/permission_handler_platform_interface.dart,5,80,80,0,0,0,0,0,5,80,80,0
JniBindings,package:jni/src/third_party/jni_bindings_generated.dart,1,80,80,0,0,0,0,0,1,80,80,0
SignOutReason,package:gotrue/src/types/sign_out_reason.dart,2,64,64,0,0,0,0,0,2,64,64,0
ProviderDirectory,package:riverpod/src/framework.dart,2,64,64,0,0,0,0,0,2,64,64,0
AsyncLoading,package:riverpod/src/framework.dart,2,64,64,0,0,0,0,0,2,64,64,0
ExternalProviderSubscription,package:riverpod/src/framework.dart,1,64,64,0,0,0,0,0,1,64,64,0
